LEDES1998B[]
INVOICE_DATE|INVOICE_NUMBER|CLIENT_ID|LAW_FIRM_MATTER_ID|INVOICE_TOTAL|BILLING_START_DATE|BILLING_END_DATE|INVOICE_DESCRIPTION|LINE_ITEM_NUMBER|EXP_FEE_INV_ADJ_TYPE|LINE_ITEM_NUMBER_OF_UNITS|LINE_ITEM_ADJUSTMENT_AMOUNT|LINE_ITEM_TOTAL|LINE_ITEM_DATE|LINE_ITEM_TASK_CODE|LINE_ITEM_EXPENSE_CODE|LINE_ITEM_ACTIVITY_CODE|TIMEKEEPER_ID|LINE_ITEM_DESCRIPTION|LAW_FIRM_ID|LINE_ITEM_UNIT_COST|TIMEKEEPER_NAME|TIMEKEEPER_CLASSIFICATION|CLIENT_MATTER_ID[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|14|F|0.98|0.00|710.50|2026-02-18|L210||A108|TK-001|JKS Pleadings|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|15|F|1.63|0.00|757.95|2026-02-15|L110||A105|TK-002|MOD Fact investigation/development|co-001|465.00|Marlowe O. Duskwood|Associate|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|16|F|4.34|0.00|954.80|2026-02-22|L510||A109|TK-003|RTP Trial preparation and strategy|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|17|F|0.98|0.00|710.50|2026-02-22|L110||A103|TK-001|JKS Fact investigation/development|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|18|F|4.12|0.00|906.40|2026-02-16|L310||A109|TK-003|RTP Written discovery|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|19|F|1.95|0.00|1413.75|2026-02-19|L310||A109|TK-001|JKS Written discovery|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|20|F|4.45|0.00|3226.25|2026-02-15|L430||A109|TK-001|JKS Written motions and submissions|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|21|F|0.54|0.00|391.50|2026-02-27|L210||A109|TK-001|JKS Pleadings|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|22|F|3.36|0.00|2436.00|2026-03-11|L110||A109|TK-001|JKS Fact investigation/development|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|23|F|2.82|0.00|620.40|2026-03-09|L120||A109|TK-003|RTP Analysis/strategy|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|24|F|4.01|0.00|882.20|2026-03-10|L210||A108|TK-003|RTP Pleadings|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|25|F|1.74|0.00|809.10|2026-03-05|L510||A109|TK-002|MOD Trial preparation and strategy|co-001|465.00|Marlowe O. Duskwood|Associate|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|26|F|2.82|0.00|620.40|2026-02-24|L110||A103|TK-003|RTP Fact investigation/development|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|27|F|3.69|0.00|2675.25|2026-02-28|L430||A103|TK-001|JKS Written motions and submissions|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|28|F|4.88|0.00|3538.00|2026-02-21|L110||A105|TK-001|JKS Fact investigation/development|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|29|F|0.65|0.00|143.00|2026-02-25|L610||A105|TK-003|RTP Settlement/ADR|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|30|F|4.23|0.00|1966.95|2026-03-10|L210||A104|TK-002|MOD Pleadings|co-001|465.00|Marlowe O. Duskwood|Associate|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|31|F|1.74|0.00|1261.50|2026-02-27|L110||A105|TK-001|JKS Fact investigation/development|co-001|725.00|Jordan K. Sable|Partner|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|32|F|2.39|0.00|525.80|2026-02-23|L430||A105|TK-003|RTP Written motions and submissions|co-001|220.00|Reyna T. Pemberton|Paralegal|MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|33|E|30|0.00|238.50|2026-03-02||E101|||Copying|co-001|7.95|||MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|34|E|1|0.00|5.24|2026-03-01||E110|||Out-of-town travel|co-001|5.24|||MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|35|E|34|0.00|107.10|2026-03-08||E110|||Out-of-town travel|co-001|3.15|||MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|36|E|27|0.00|37.80|2026-02-21||E110|||Out-of-town travel|co-001|1.40|||MAT-OC-0142[]
2026-03-20|INV-ADLLP-100142|co-002|MAT-OC-0142|47000.00|2026-02-15|2026-03-14|Outside counsel services, 38-page detailed invoice|37|E|26|0.00|205.36|2026-02-18||E110|||Out-of-town travel|co-001|7.90|||MAT-OC-0142[]
