assignment_id,cycle_id,reviewee_employee_id,reviewee_full_name,reviewee_department,reviewee_role_title,reviewer_employee_id,reviewer_full_name,reviewer_department,reviewer_role_title,reviewer_relationship,escalation_contact_employee_id,escalation_contact_full_name,due_date,submitted_date,status
RVA-2026-0015,RVC-2026-0001,EMP-0526,Isolde Hallowell,People,HR Business Partner,EMP-0502,Isolde Elderkin,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-04-10,,not_started
RVA-2026-0016,RVC-2026-0001,EMP-0506,Lyric Corrigan,People,People Operations Specialist,EMP-0503,Corwin Quennell,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-04-01,2026-04-01,submitted
RVA-2026-0017,RVC-2026-0001,EMP-0508,Wystan Marchbanks,People,Recruiter,EMP-0503,Corwin Quennell,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-04-02,2026-03-23,submitted
RVA-2026-0018,RVC-2026-0001,EMP-0513,Saskia Dunmore,People,People Operations Specialist,EMP-0503,Corwin Quennell,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-03-27,2026-03-25,submitted
RVA-2026-0019,RVC-2026-0001,EMP-0517,Sable Underhill,People,Recruiter,EMP-0503,Corwin Quennell,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-03-30,2026-03-26,submitted
RVA-2026-0020,RVC-2026-0001,EMP-0519,Guinevere Ashby,People,HR Business Partner,EMP-0503,Corwin Quennell,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-03-31,2026-03-31,submitted
RVA-2026-0021,RVC-2026-0001,EMP-0527,Quenby Juniper,People,HR Business Partner,EMP-0503,Corwin Quennell,People,People Manager,manager,EMP-0500,Delphine Ashgrove,2026-04-01,2026-04-01,submitted
RVA-2026-0022,RVC-2026-0001,EMP-0510,Quillon Yarrow,People,People Operations Specialist,EMP-0504,Perrin Ingledew,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-04-02,2026-04-01,submitted
RVA-2026-0023,RVC-2026-0001,EMP-0512,Lior Fenmore,People,Recruiter,EMP-0504,Perrin Ingledew,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-03-27,2026-03-25,submitted
RVA-2026-0024,RVC-2026-0001,EMP-0514,Sorrel Duskwood,People,People Operations Specialist,EMP-0504,Perrin Ingledew,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-03-30,2026-03-27,submitted
RVA-2026-0025,RVC-2026-0001,EMP-0515,Lior Pemberton,People,HR Business Partner,EMP-0504,Perrin Ingledew,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-03-31,2026-03-27,submitted
RVA-2026-0026,RVC-2026-0001,EMP-0516,Corin Kestenbaum,People,People Operations Specialist,EMP-0504,Perrin Ingledew,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-04-01,2026-04-01,submitted
RVA-2026-0027,RVC-2026-0001,EMP-0525,Lyric Pennington,People,HR Business Partner,EMP-0504,Perrin Ingledew,People,People Manager,manager,EMP-0499,Nessa Duskwood,2026-04-02,,in_progress
RVA-2026-0028,RVC-2026-0001,EMP-0542,Dashiell Holloway,IT & Security,"Director, IT & Security",EMP-0541,Ewald Yarrow,IT & Security,"VP, IT & Security",manager,EMP-0001,Kestrel Ashgrove,2026-04-15,2026-03-30,submitted
RVA-2026-0029,RVC-2026-0001,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",EMP-0541,Ewald Yarrow,IT & Security,"VP, IT & Security",manager,EMP-0001,Kestrel Ashgrove,2026-04-16,2026-03-24,submitted
RVA-2026-0030,RVC-2026-0001,EMP-0545,Gideon Dunmore,IT & Security,IT & Security Manager,EMP-0542,Dashiell Holloway,IT & Security,"Director, IT & Security",manager,EMP-0541,Ewald Yarrow,2026-03-31,2026-03-25,submitted
RVA-2026-0031,RVC-2026-0001,EMP-0546,Briar Dunmore,IT & Security,IT & Security Manager,EMP-0542,Dashiell Holloway,IT & Security,"Director, IT & Security",manager,EMP-0541,Ewald Yarrow,2026-04-01,2026-03-24,submitted
RVA-2026-0032,RVC-2026-0001,EMP-0547,Tobin Grayling,IT & Security,IT & Security Manager,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",manager,EMP-0541,Ewald Yarrow,2026-04-03,2026-03-27,submitted
RVA-2026-0033,RVC-2026-0001,EMP-0548,Guinevere Blackwood,IT & Security,IT Administrator,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",skip_level,EMP-0541,Ewald Yarrow,2026-04-06,2026-03-31,submitted
RVA-2026-0034,RVC-2026-0001,EMP-0549,Marlowe Quennell,IT & Security,Security Engineer,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",skip_level,EMP-0541,Ewald Yarrow,2026-04-07,,in_progress
RVA-2026-0035,RVC-2026-0001,EMP-0554,Reyna Crestfall,IT & Security,IT Administrator,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",skip_level,EMP-0541,Ewald Yarrow,2026-04-08,,in_progress
RVA-2026-0036,RVC-2026-0001,EMP-0555,Ondine Ivorwood,IT & Security,Security Engineer,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",skip_level,EMP-0541,Ewald Yarrow,2026-04-09,,not_started
RVA-2026-0037,RVC-2026-0001,EMP-0557,Emlyn Pemberton,IT & Security,Security Engineer,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",skip_level,EMP-0541,Ewald Yarrow,2026-04-10,,in_progress
RVA-2026-0038,RVC-2026-0001,EMP-0558,Corwin Oakhurst,IT & Security,Security Engineer,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",skip_level,EMP-0541,Ewald Yarrow,2026-04-13,,in_progress
RVA-2026-0039,RVC-2026-0001,EMP-0569,Merritt Jarrow,IT & Security,IT Administrator,EMP-0543,Piran Blackwood,IT & Security,"Director, IT & Security",skip_level,EMP-0541,Ewald Yarrow,2026-04-14,,not_started
RVA-2026-0040,RVC-2026-0001,EMP-0560,Reyna Osgood,IT & Security,IT Administrator,EMP-0545,Gideon Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-03-27,2026-03-26,submitted
RVA-2026-0041,RVC-2026-0001,EMP-0562,Cormac Loxley,IT & Security,IT Administrator,EMP-0545,Gideon Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-03-30,2026-03-24,submitted
RVA-2026-0042,RVC-2026-0001,EMP-0563,Sorrel Pemberton,IT & Security,IT Administrator,EMP-0545,Gideon Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-03-31,2026-03-27,submitted
RVA-2026-0043,RVC-2026-0001,EMP-0567,Odalys Vantree,IT & Security,IT Administrator,EMP-0545,Gideon Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-04-07,2026-03-24,submitted
RVA-2026-0044,RVC-2026-0001,EMP-0551,Freya Ivorwood,IT & Security,IT Administrator,EMP-0546,Briar Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-03-27,2026-03-25,submitted
RVA-2026-0045,RVC-2026-0001,EMP-0552,Honora Norwich,IT & Security,Security Engineer,EMP-0546,Briar Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-03-30,2026-03-25,submitted
RVA-2026-0046,RVC-2026-0001,EMP-0553,Ewald Whitlock,IT & Security,IT Administrator,EMP-0546,Briar Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-03-31,2026-03-26,submitted
RVA-2026-0047,RVC-2026-0001,EMP-0565,Delphine Quennell,IT & Security,Security Engineer,EMP-0546,Briar Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-04-01,2026-03-23,submitted
RVA-2026-0048,RVC-2026-0001,EMP-0568,Zephyrine Fenmore,IT & Security,Security Engineer,EMP-0546,Briar Dunmore,IT & Security,IT & Security Manager,manager,EMP-0542,Dashiell Holloway,2026-04-02,2026-03-24,submitted
RVA-2026-0049,RVC-2026-0001,EMP-0550,Quillon Quennell,IT & Security,Security Engineer,EMP-0547,Tobin Grayling,IT & Security,IT & Security Manager,manager,EMP-0543,Piran Blackwood,2026-03-27,2026-03-27,submitted
RVA-2026-0050,RVC-2026-0001,EMP-0556,Aldous Pennington,IT & Security,Security Engineer,EMP-0547,Tobin Grayling,IT & Security,IT & Security Manager,manager,EMP-0543,Piran Blackwood,2026-03-30,2026-03-27,submitted
RVA-2026-0051,RVC-2026-0001,EMP-0559,Briar Blackwood,IT & Security,Security Engineer,EMP-0547,Tobin Grayling,IT & Security,IT & Security Manager,manager,EMP-0543,Piran Blackwood,2026-03-31,2026-03-23,submitted
RVA-2026-0052,RVC-2026-0001,EMP-0561,Odalys Everhart,IT & Security,Security Engineer,EMP-0547,Tobin Grayling,IT & Security,IT & Security Manager,manager,EMP-0543,Piran Blackwood,2026-04-15,2026-04-03,submitted
RVA-2026-0053,RVC-2026-0001,EMP-0564,Sable Blackwood,IT & Security,Security Engineer,EMP-0547,Tobin Grayling,IT & Security,IT & Security Manager,manager,EMP-0543,Piran Blackwood,2026-04-16,,in_progress
RVA-2026-0054,RVC-2026-0001,EMP-0566,Corin Marchbanks,IT & Security,IT Administrator,EMP-0547,Tobin Grayling,IT & Security,IT & Security Manager,manager,EMP-0543,Piran Blackwood,2026-04-17,,in_progress
RVA-2026-0055,RVC-2026-0001,EMP-0570,Ewald Pemberton,IT & Security,Security Engineer,EMP-0547,Tobin Grayling,IT & Security,IT & Security Manager,manager,EMP-0543,Piran Blackwood,2026-04-03,,in_progress
