interval_id,employee_id,full_name,role_title,panel_role,start_at,end_at,duration_minutes,busy_type,subject,source_artifact
CAL-2026-0070,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-24T10:30:00Z,2026-03-24T11:15:00Z,45,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0071,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-24T13:30:00Z,2026-03-24T15:00:00Z,90,training,Training session,
CAL-2026-0072,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-24T13:30:00Z,2026-03-24T15:00:00Z,90,focus_block,Focus block,
CAL-2026-0073,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-25T09:00:00Z,2026-03-25T09:45:00Z,45,team_meeting,Team meeting,
CAL-2026-0074,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-25T10:45:00Z,2026-03-25T12:15:00Z,90,sourcing_block,Sourcing block,
CAL-2026-0075,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-25T12:00:00Z,2026-03-25T13:30:00Z,90,one_to_one,One to one,
CAL-2026-0076,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-25T13:15:00Z,2026-03-25T13:45:00Z,30,focus_block,Focus block,
CAL-2026-0077,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-25T13:30:00Z,2026-03-25T14:00:00Z,30,focus_block,Focus block,
CAL-2026-0078,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-25T15:15:00Z,2026-03-25T15:45:00Z,30,program_review,Program review,
CAL-2026-0079,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-26T09:45:00Z,2026-03-26T10:15:00Z,30,training,Training session,
CAL-2026-0080,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-26T11:30:00Z,2026-03-26T12:30:00Z,60,training,Training session,
CAL-2026-0081,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-26T12:30:00Z,2026-03-26T13:00:00Z,30,stakeholder_review,Stakeholder review,
CAL-2026-0082,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-26T13:30:00Z,2026-03-26T14:00:00Z,30,training,Training session,
CAL-2026-0083,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-26T15:30:00Z,2026-03-26T16:00:00Z,30,training,Training session,
CAL-2026-0084,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-26T15:45:00Z,2026-03-26T16:45:00Z,60,team_meeting,Team meeting,
CAL-2026-0085,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-27T10:15:00Z,2026-03-27T11:45:00Z,90,training,Training session,
CAL-2026-0086,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-27T10:30:00Z,2026-03-27T11:00:00Z,30,stakeholder_review,Stakeholder review,
CAL-2026-0087,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-27T10:45:00Z,2026-03-27T11:15:00Z,30,sourcing_block,Sourcing block,
CAL-2026-0088,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-27T12:30:00Z,2026-03-27T13:15:00Z,45,sourcing_block,Sourcing block,
CAL-2026-0089,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-27T12:30:00Z,2026-03-27T14:00:00Z,90,stakeholder_review,Stakeholder review,
CAL-2026-0090,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-27T14:00:00Z,2026-03-27T15:00:00Z,60,team_retro,Operations team retro,OPS-02
CAL-2026-0091,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-27T14:30:00Z,2026-03-27T16:00:00Z,90,one_to_one,One to one,
CAL-2026-0092,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-30T09:30:00Z,2026-03-30T10:30:00Z,60,team_meeting,Team meeting,
CAL-2026-0093,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-30T10:00:00Z,2026-03-30T11:00:00Z,60,team_meeting,Team meeting,
CAL-2026-0094,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-30T10:30:00Z,2026-03-30T11:00:00Z,30,one_to_one,One to one,
CAL-2026-0095,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-30T11:15:00Z,2026-03-30T12:15:00Z,60,team_meeting,Team meeting,
CAL-2026-0096,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-30T14:30:00Z,2026-03-30T16:00:00Z,90,training,Training session,
CAL-2026-0097,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-30T15:45:00Z,2026-03-30T16:45:00Z,60,one_to_one,One to one,
CAL-2026-0098,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-31T12:00:00Z,2026-03-31T13:00:00Z,60,training,Training session,
CAL-2026-0099,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-31T12:45:00Z,2026-03-31T13:15:00Z,30,one_to_one,One to one,
CAL-2026-0100,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-31T13:15:00Z,2026-03-31T14:45:00Z,90,one_to_one,One to one,
CAL-2026-0101,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-03-31T13:45:00Z,2026-03-31T14:15:00Z,30,focus_block,Focus block,
CAL-2026-0102,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-03-31T14:30:00Z,2026-03-31T16:00:00Z,90,program_review,Program review,
CAL-2026-0103,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-03-31T14:45:00Z,2026-03-31T15:30:00Z,45,team_meeting,Team meeting,
CAL-2026-0104,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-01T10:00:00Z,2026-04-01T11:30:00Z,90,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0105,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-01T13:30:00Z,2026-04-01T14:15:00Z,45,one_to_one,One to one,
CAL-2026-0106,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-01T14:45:00Z,2026-04-01T15:15:00Z,30,focus_block,Focus block,
CAL-2026-0107,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-02T10:30:00Z,2026-04-02T11:15:00Z,45,focus_block,Focus block,
CAL-2026-0108,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-02T12:45:00Z,2026-04-02T14:15:00Z,90,team_meeting,Team meeting,
CAL-2026-0109,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-02T14:45:00Z,2026-04-02T16:15:00Z,90,focus_block,Focus block,
CAL-2026-0110,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-02T15:00:00Z,2026-04-02T15:45:00Z,45,program_review,Program review,
CAL-2026-0111,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-03T10:45:00Z,2026-04-03T11:30:00Z,45,stakeholder_review,Stakeholder review,
CAL-2026-0112,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-03T12:00:00Z,2026-04-03T12:45:00Z,45,sourcing_block,Sourcing block,
CAL-2026-0113,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-03T12:30:00Z,2026-04-03T13:00:00Z,30,program_review,Program review,
CAL-2026-0114,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-03T13:30:00Z,2026-04-03T14:30:00Z,60,training,Training session,
CAL-2026-0115,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-03T16:00:00Z,2026-04-03T16:45:00Z,45,focus_block,Focus block,
CAL-2026-0116,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-06T09:45:00Z,2026-04-06T11:15:00Z,90,one_to_one,One to one,
CAL-2026-0117,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-06T10:15:00Z,2026-04-06T11:15:00Z,60,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0118,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-06T11:30:00Z,2026-04-06T13:00:00Z,90,focus_block,Focus block,
CAL-2026-0119,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-06T12:00:00Z,2026-04-06T12:30:00Z,30,focus_block,Focus block,
CAL-2026-0120,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-06T12:45:00Z,2026-04-06T14:15:00Z,90,sourcing_block,Sourcing block,
CAL-2026-0121,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-06T13:45:00Z,2026-04-06T14:30:00Z,45,program_review,Program review,
CAL-2026-0122,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-06T14:15:00Z,2026-04-06T15:15:00Z,60,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0123,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-06T15:00:00Z,2026-04-06T16:00:00Z,60,training,Training session,
CAL-2026-0124,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-06T16:00:00Z,2026-04-06T16:45:00Z,45,stakeholder_review,Stakeholder review,
CAL-2026-0125,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-07T09:15:00Z,2026-04-07T09:45:00Z,30,one_to_one,One to one,
CAL-2026-0126,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-07T09:45:00Z,2026-04-07T11:15:00Z,90,team_meeting,Team meeting,
CAL-2026-0127,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-07T10:30:00Z,2026-04-07T11:00:00Z,30,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0128,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-07T11:15:00Z,2026-04-07T12:00:00Z,45,focus_block,Focus block,
CAL-2026-0129,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-07T12:45:00Z,2026-04-07T13:15:00Z,30,training,Training session,
CAL-2026-0130,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-07T14:00:00Z,2026-04-07T15:30:00Z,90,training,Training session,
CAL-2026-0131,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-07T16:15:00Z,2026-04-07T17:00:00Z,45,sourcing_block,Sourcing block,
CAL-2026-0132,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-07T16:15:00Z,2026-04-07T17:00:00Z,45,stakeholder_review,Stakeholder review,
CAL-2026-0133,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-08T09:00:00Z,2026-04-08T10:00:00Z,60,focus_block,Focus block,
CAL-2026-0134,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-08T09:30:00Z,2026-04-08T10:30:00Z,60,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0135,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-08T10:30:00Z,2026-04-08T11:15:00Z,45,team_meeting,Team meeting,
CAL-2026-0136,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-08T11:30:00Z,2026-04-08T12:15:00Z,45,sourcing_block,Sourcing block,
CAL-2026-0137,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-08T11:30:00Z,2026-04-08T12:00:00Z,30,team_meeting,Team meeting,
CAL-2026-0138,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-08T12:00:00Z,2026-04-08T13:30:00Z,90,program_review,Program review,
CAL-2026-0139,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-08T13:30:00Z,2026-04-08T15:00:00Z,90,program_review,Program review,
CAL-2026-0140,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-08T14:15:00Z,2026-04-08T15:15:00Z,60,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0141,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-08T15:45:00Z,2026-04-08T16:45:00Z,60,sourcing_block,Sourcing block,
CAL-2026-0142,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-08T15:45:00Z,2026-04-08T16:45:00Z,60,stakeholder_review,Stakeholder review,
CAL-2026-0143,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-09T09:15:00Z,2026-04-09T10:15:00Z,60,stakeholder_review,Stakeholder review,
CAL-2026-0144,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-09T10:15:00Z,2026-04-09T11:45:00Z,90,training,Training session,
CAL-2026-0145,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-09T10:15:00Z,2026-04-09T11:15:00Z,60,one_to_one,One to one,
CAL-2026-0146,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-09T11:30:00Z,2026-04-09T13:00:00Z,90,training,Training session,
CAL-2026-0147,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-09T12:15:00Z,2026-04-09T12:45:00Z,30,stakeholder_review,Stakeholder review,
CAL-2026-0148,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-09T13:30:00Z,2026-04-09T15:00:00Z,90,program_review,Program review,
CAL-2026-0149,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-09T13:45:00Z,2026-04-09T15:15:00Z,90,one_to_one,One to one,
CAL-2026-0150,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-09T13:45:00Z,2026-04-09T14:15:00Z,30,program_review,Program review,
CAL-2026-0151,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-09T14:30:00Z,2026-04-09T15:30:00Z,60,one_to_one,One to one,
CAL-2026-0152,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-09T15:30:00Z,2026-04-09T16:15:00Z,45,sourcing_block,Sourcing block,
CAL-2026-0153,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-09T16:00:00Z,2026-04-09T16:45:00Z,45,one_to_one,One to one,
CAL-2026-0154,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-09T16:15:00Z,2026-04-09T16:45:00Z,30,program_review,Program review,
CAL-2026-0155,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-10T10:00:00Z,2026-04-10T10:30:00Z,30,team_meeting,Team meeting,
CAL-2026-0156,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-10T10:15:00Z,2026-04-10T11:45:00Z,90,focus_block,Focus block,
CAL-2026-0157,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-10T10:30:00Z,2026-04-10T11:00:00Z,30,focus_block,Focus block,
CAL-2026-0158,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-10T10:45:00Z,2026-04-10T11:45:00Z,60,stakeholder_review,Stakeholder review,
CAL-2026-0159,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-10T12:15:00Z,2026-04-10T13:00:00Z,45,one_to_one,One to one,
CAL-2026-0160,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-10T12:30:00Z,2026-04-10T13:00:00Z,30,hiring_pipeline_review,Hiring pipeline review,
CAL-2026-0161,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-10T13:30:00Z,2026-04-10T15:00:00Z,90,team_meeting,Team meeting,
CAL-2026-0162,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-13T09:00:00Z,2026-04-13T10:30:00Z,90,training,Training session,
CAL-2026-0163,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-13T09:15:00Z,2026-04-13T10:00:00Z,45,program_review,Program review,
CAL-2026-0164,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-13T10:30:00Z,2026-04-13T11:30:00Z,60,program_review,Program review,
CAL-2026-0165,EMP-0581,Lyric Norwich,Program Manager,program-manager,2026-04-13T12:00:00Z,2026-04-13T13:30:00Z,90,focus_block,Focus block,
CAL-2026-0166,EMP-0574,Faro Fenmore,Operations Manager,hiring-manager,2026-04-13T12:30:00Z,2026-04-13T13:00:00Z,30,one_to_one,One to one,
CAL-2026-0167,EMP-0517,Sable Underhill,Recruiter,recruiter-screen,2026-04-13T13:15:00Z,2026-04-13T13:45:00Z,30,one_to_one,One to one,
