employee_id,first_name,last_name,department,role_title,level,manager_employee_id,start_date,employment_status,finance_system_role,email
EMP-0041,Zephyrine,Pemberton,Engineering,Engineering Manager,Manager,EMP-0009,2025-01-27,active,,zephyrine.pemberton.emp-0041@co002.example
EMP-0042,Sable,Yarrow,Engineering,QA Engineer,IC,EMP-0024,2022-03-29,active,,sable.yarrow.emp-0042@co002.example
EMP-0043,Delphine,Bellcrest,Engineering,Site Reliability Engineer,IC,EMP-0014,2020-11-20,active,,delphine.bellcrest.emp-0043@co002.example
EMP-0044,Dashiell,Fenmore,Engineering,QA Engineer,IC,EMP-0029,2024-06-11,active,,dashiell.fenmore.emp-0044@co002.example
EMP-0045,Ondine,Pennington,Engineering,Software Engineer,IC,EMP-0020,2022-04-04,active,,ondine.pennington.emp-0045@co002.example
EMP-0046,Wrenna,Oakhurst,Engineering,Software Engineer,IC,EMP-0025,2025-12-19,active,,wrenna.oakhurst.emp-0046@co002.example
EMP-0047,Hollis,Quennell,Engineering,Site Reliability Engineer,IC,EMP-0040,2020-10-16,active,,hollis.quennell.emp-0047@co002.example
EMP-0048,Rhoswen,Ashby,Engineering,Site Reliability Engineer,IC,EMP-0018,2020-12-24,active,,rhoswen.ashby.emp-0048@co002.example
EMP-0049,Lior,Quennell,Engineering,Software Engineer,IC,EMP-0017,2023-11-10,active,,lior.quennell.emp-0049@co002.example
EMP-0050,Verity,Larkspur,Engineering,Site Reliability Engineer,IC,EMP-0018,2020-03-18,active,,verity.larkspur.emp-0050@co002.example
EMP-0051,Corin,Corrigan,Engineering,Site Reliability Engineer,IC,EMP-0032,2024-04-02,active,,corin.corrigan.emp-0051@co002.example
EMP-0052,Aldous,Vantree,Engineering,QA Engineer,IC,EMP-0026,2020-09-08,active,,aldous.vantree.emp-0052@co002.example
EMP-0053,Gideon,Loxley,Engineering,Staff Engineer,IC,EMP-0019,2022-02-21,active,,gideon.loxley.emp-0053@co002.example
EMP-0054,Zephyrine,Marchbanks,Engineering,QA Engineer,IC,EMP-0032,2025-11-08,active,,zephyrine.marchbanks.emp-0054@co002.example
EMP-0055,Fenwick,Underhill,Engineering,Site Reliability Engineer,IC,EMP-0019,2021-08-08,active,,fenwick.underhill.emp-0055@co002.example
EMP-0056,Guinevere,Millgate,Engineering,QA Engineer,IC,EMP-0026,2022-02-14,active,,guinevere.millgate.emp-0056@co002.example
EMP-0057,Marlowe,Holloway,Engineering,Software Engineer,IC,EMP-0038,2025-10-16,active,,marlowe.holloway.emp-0057@co002.example
EMP-0058,Cassian,Holloway,Engineering,Software Engineer,IC,EMP-0015,2020-08-14,departed,,cassian.holloway.emp-0058@co002.example
EMP-0059,Lior,Crestfall,Engineering,Software Engineer,IC,EMP-0029,2023-04-11,active,,lior.crestfall.emp-0059@co002.example
EMP-0060,Emlyn,Hallowell,Engineering,Site Reliability Engineer,IC,EMP-0031,2023-06-21,active,,emlyn.hallowell.emp-0060@co002.example
EMP-0061,Wrenna,Kirtland,Engineering,QA Engineer,IC,EMP-0037,2020-09-25,active,,wrenna.kirtland.emp-0061@co002.example
EMP-0062,Junot,Ingledew,Engineering,Site Reliability Engineer,IC,EMP-0039,2024-03-12,active,,junot.ingledew.emp-0062@co002.example
EMP-0063,Reyna,Fairweather,Engineering,QA Engineer,IC,EMP-0024,2023-07-14,active,,reyna.fairweather.emp-0063@co002.example
EMP-0064,Thessaly,Elderkin,Engineering,Site Reliability Engineer,IC,EMP-0021,2022-06-10,active,,thessaly.elderkin.emp-0064@co002.example
EMP-0065,Faro,Ashgrove,Engineering,Site Reliability Engineer,IC,EMP-0038,2024-01-21,active,,faro.ashgrove.emp-0065@co002.example
EMP-0066,Dashiell,Underhill,Engineering,Site Reliability Engineer,IC,EMP-0020,2025-02-06,active,,dashiell.underhill.emp-0066@co002.example
EMP-0067,Aldous,Pemberton,Engineering,Site Reliability Engineer,IC,EMP-0026,2022-04-12,active,,aldous.pemberton.emp-0067@co002.example
EMP-0068,Wystan,Blackwood,Engineering,Site Reliability Engineer,IC,EMP-0040,2025-09-06,active,,wystan.blackwood.emp-0068@co002.example
EMP-0069,Cassian,Dunmore,Engineering,Site Reliability Engineer,IC,EMP-0037,2023-10-22,active,,cassian.dunmore.emp-0069@co002.example
EMP-0070,Tamsin,Marchbanks,Engineering,QA Engineer,IC,EMP-0031,2021-10-19,active,,tamsin.marchbanks.emp-0070@co002.example
EMP-0071,Oleander,Corrigan,Engineering,Software Engineer,IC,EMP-0022,2023-04-02,active,,oleander.corrigan.emp-0071@co002.example
EMP-0072,Tobin,Everhart,Engineering,QA Engineer,IC,EMP-0036,2023-04-24,active,,tobin.everhart.emp-0072@co002.example
EMP-0073,Yara,Pemberton,Engineering,QA Engineer,IC,EMP-0015,2023-02-12,active,,yara.pemberton.emp-0073@co002.example
EMP-0074,Gideon,Juniper,Engineering,Staff Engineer,IC,EMP-0030,2022-11-28,active,,gideon.juniper.emp-0074@co002.example
EMP-0075,Ulric,Millgate,Engineering,Software Engineer,IC,EMP-0040,2021-12-16,active,,ulric.millgate.emp-0075@co002.example
EMP-0076,Ivo,Underhill,Engineering,Software Engineer,IC,EMP-0040,2026-01-02,active,,ivo.underhill.emp-0076@co002.example
EMP-0077,Ivo,Ingledew,Engineering,QA Engineer,IC,EMP-0037,2021-10-21,active,,ivo.ingledew.emp-0077@co002.example
EMP-0078,Lyric,Grayling,Engineering,Software Engineer,IC,EMP-0015,2022-02-08,active,,lyric.grayling.emp-0078@co002.example
EMP-0079,Cassian,Loxley,Engineering,Senior Software Engineer,IC,EMP-0014,2023-12-25,active,,cassian.loxley.emp-0079@co002.example
EMP-0080,Dashiell,Jarrow,Engineering,QA Engineer,IC,EMP-0033,2023-06-04,active,,dashiell.jarrow.emp-0080@co002.example
EMP-0081,Gideon,Everhart,Engineering,Staff Engineer,IC,EMP-0025,2021-05-29,active,,gideon.everhart.emp-0081@co002.example
EMP-0082,Halcyon,Fenmore,Engineering,Senior Software Engineer,IC,EMP-0037,2024-08-17,active,,halcyon.fenmore.emp-0082@co002.example
EMP-0083,Lyric,Crestfall,Engineering,Senior Software Engineer,IC,EMP-0036,2024-08-31,active,,lyric.crestfall.emp-0083@co002.example
EMP-0084,Baxter,Osgood,Engineering,Staff Engineer,IC,EMP-0033,2023-05-11,active,,baxter.osgood.emp-0084@co002.example
EMP-0085,Kestrel,Osgood,Engineering,QA Engineer,IC,EMP-0039,2023-03-15,active,,kestrel.osgood.emp-0085@co002.example
EMP-0086,Oleander,Fairweather,Engineering,Site Reliability Engineer,IC,EMP-0029,2020-11-06,active,,oleander.fairweather.emp-0086@co002.example
EMP-0087,Oleander,Larkspur,Engineering,Staff Engineer,IC,EMP-0021,2025-04-09,active,,oleander.larkspur.emp-0087@co002.example
EMP-0088,Rhoswen,Duskwood,Engineering,Software Engineer,IC,EMP-0015,2023-04-23,departed,,rhoswen.duskwood.emp-0088@co002.example
EMP-0089,Isolde,Pemberton,Engineering,Senior Software Engineer,IC,EMP-0018,2021-03-01,active,,isolde.pemberton.emp-0089@co002.example
EMP-0090,Kestrel,Ravenscroft,Engineering,Software Engineer,IC,EMP-0016,2024-05-14,active,,kestrel.ravenscroft.emp-0090@co002.example
EMP-0091,Hollis,Underhill,Engineering,Senior Software Engineer,IC,EMP-0027,2022-06-08,departed,,hollis.underhill.emp-0091@co002.example
EMP-0092,Emlyn,Vantree,Engineering,QA Engineer,IC,EMP-0014,2023-03-23,active,,emlyn.vantree.emp-0092@co002.example
EMP-0093,Wrenna,Ashby,Engineering,QA Engineer,IC,EMP-0023,2021-04-08,active,,wrenna.ashby.emp-0093@co002.example
EMP-0094,Rhoswen,Loxley,Engineering,Senior Software Engineer,IC,EMP-0035,2023-11-04,active,,rhoswen.loxley.emp-0094@co002.example
EMP-0095,Kestrel,Greywick,Engineering,Senior Software Engineer,IC,EMP-0041,2020-04-25,active,,kestrel.greywick.emp-0095@co002.example
EMP-0096,Reyna,Quennell,Engineering,Software Engineer,IC,EMP-0023,2021-10-10,active,,reyna.quennell.emp-0096@co002.example
EMP-0097,Ondine,Kestenbaum,Engineering,Site Reliability Engineer,IC,EMP-0026,2021-10-07,active,,ondine.kestenbaum.emp-0097@co002.example
EMP-0098,Yara,Dunmore,Engineering,Staff Engineer,IC,EMP-0020,2022-09-22,active,,yara.dunmore.emp-0098@co002.example
EMP-0099,Odalys,Hallowell,Engineering,Software Engineer,IC,EMP-0021,2025-08-25,active,,odalys.hallowell.emp-0099@co002.example
EMP-0100,Reyna,Larkspur,Engineering,Site Reliability Engineer,IC,EMP-0027,2022-04-07,active,,reyna.larkspur.emp-0100@co002.example
EMP-0101,Ewald,Pennington,Engineering,QA Engineer,IC,EMP-0021,2021-07-18,active,,ewald.pennington.emp-0101@co002.example
EMP-0102,Tamsin,Loxley,Engineering,Software Engineer,IC,EMP-0018,2021-10-25,active,,tamsin.loxley.emp-0102@co002.example
EMP-0103,Rhoswen,Bellcrest,Engineering,Software Engineer,IC,EMP-0028,2022-12-22,active,,rhoswen.bellcrest.emp-0103@co002.example
EMP-0104,Piran,Ashby,Engineering,Site Reliability Engineer,IC,EMP-0021,2023-04-16,active,,piran.ashby.emp-0104@co002.example
EMP-0105,Branwen,Everhart,Engineering,Staff Engineer,IC,EMP-0029,2025-03-16,active,,branwen.everhart.emp-0105@co002.example
EMP-0106,Corwin,Jarrow,Engineering,Software Engineer,IC,EMP-0023,2024-02-18,active,,corwin.jarrow.emp-0106@co002.example
EMP-0107,Oleander,Blackwood,Engineering,Software Engineer,IC,EMP-0035,2020-05-23,active,,oleander.blackwood.emp-0107@co002.example
EMP-0108,Corin,Whitlock,Engineering,QA Engineer,IC,EMP-0021,2023-07-23,active,,corin.whitlock.emp-0108@co002.example
EMP-0109,Sable,Nightshade,Engineering,QA Engineer,IC,EMP-0016,2022-04-30,active,,sable.nightshade.emp-0109@co002.example
EMP-0110,Fenwick,Ashgrove,Engineering,QA Engineer,IC,EMP-0026,2025-10-26,active,,fenwick.ashgrove.emp-0110@co002.example
EMP-0111,Ondine,Fenmore,Engineering,Site Reliability Engineer,IC,EMP-0014,2022-09-19,active,,ondine.fenmore.emp-0111@co002.example
EMP-0112,Sorrel,Ingledew,Engineering,Staff Engineer,IC,EMP-0037,2024-03-02,active,,sorrel.ingledew.emp-0112@co002.example
EMP-0113,Aldous,Loxley,Engineering,QA Engineer,IC,EMP-0027,2020-10-28,active,,aldous.loxley.emp-0113@co002.example
EMP-0114,Merritt,Pemberton,Engineering,Software Engineer,IC,EMP-0028,2023-12-11,active,,merritt.pemberton.emp-0114@co002.example
EMP-0115,Nessa,Everhart,Engineering,Site Reliability Engineer,IC,EMP-0014,2024-12-15,active,,nessa.everhart.emp-0115@co002.example
EMP-0116,Merritt,Elderkin,Engineering,Staff Engineer,IC,EMP-0025,2024-12-02,active,,merritt.elderkin.emp-0116@co002.example
EMP-0117,Gideon,Hallowell,Engineering,Staff Engineer,IC,EMP-0016,2022-05-18,active,,gideon.hallowell.emp-0117@co002.example
EMP-0118,Quillon,Nightshade,Engineering,Senior Software Engineer,IC,EMP-0032,2024-04-23,active,,quillon.nightshade.emp-0118@co002.example
EMP-0119,Dashiell,Larkspur,Engineering,QA Engineer,IC,EMP-0038,2024-07-14,active,,dashiell.larkspur.emp-0119@co002.example
EMP-0120,Reyna,Kestenbaum,Engineering,Software Engineer,IC,EMP-0038,2021-09-29,active,,reyna.kestenbaum.emp-0120@co002.example
EMP-0121,Delphine,Crestfall,Engineering,Software Engineer,IC,EMP-0015,2021-02-12,active,,delphine.crestfall.emp-0121@co002.example
EMP-0122,Merritt,Ashby,Engineering,QA Engineer,IC,EMP-0022,2021-05-26,active,,merritt.ashby.emp-0122@co002.example
EMP-0123,Gideon,Ivorwood,Engineering,QA Engineer,IC,EMP-0017,2023-12-31,active,,gideon.ivorwood.emp-0123@co002.example
EMP-0124,Lior,Kirtland,Engineering,Site Reliability Engineer,IC,EMP-0032,2021-07-22,active,,lior.kirtland.emp-0124@co002.example
EMP-0125,Quenby,Jarrow,Engineering,Site Reliability Engineer,IC,EMP-0015,2024-11-03,active,,quenby.jarrow.emp-0125@co002.example
EMP-0126,Quillon,Elderkin,Engineering,Senior Software Engineer,IC,EMP-0038,2021-03-05,active,,quillon.elderkin.emp-0126@co002.example
EMP-0127,Marlowe,Fairweather,Engineering,Senior Software Engineer,IC,EMP-0023,2020-06-01,active,,marlowe.fairweather.emp-0127@co002.example
EMP-0128,Reyna,Bellcrest,Engineering,QA Engineer,IC,EMP-0022,2020-07-18,active,,reyna.bellcrest.emp-0128@co002.example
EMP-0129,Isolde,Loxley,Engineering,Staff Engineer,IC,EMP-0033,2020-07-15,active,,isolde.loxley.emp-0129@co002.example
EMP-0130,Perrin,Oakhurst,Engineering,Software Engineer,IC,EMP-0019,2020-09-18,active,,perrin.oakhurst.emp-0130@co002.example
EMP-0131,Tobin,Kirtland,Engineering,QA Engineer,IC,EMP-0023,2023-10-14,active,,tobin.kirtland.emp-0131@co002.example
EMP-0132,Isolde,Kirtland,Engineering,QA Engineer,IC,EMP-0025,2023-01-19,active,,isolde.kirtland.emp-0132@co002.example
EMP-0133,Ewald,Juniper,Engineering,Senior Software Engineer,IC,EMP-0029,2024-09-15,active,,ewald.juniper.emp-0133@co002.example
EMP-0134,Verity,Marchbanks,Engineering,Staff Engineer,IC,EMP-0036,2025-03-08,departed,,verity.marchbanks.emp-0134@co002.example
EMP-0135,Reyna,Whitlock,Engineering,QA Engineer,IC,EMP-0021,2021-06-03,active,,reyna.whitlock.emp-0135@co002.example
EMP-0136,Cormac,Grayling,Engineering,QA Engineer,IC,EMP-0026,2021-09-26,active,,cormac.grayling.emp-0136@co002.example
EMP-0137,Verity,Vantree,Engineering,Senior Software Engineer,IC,EMP-0037,2025-03-10,active,,verity.vantree.emp-0137@co002.example
EMP-0138,Ewald,Greywick,Engineering,Staff Engineer,IC,EMP-0018,2023-08-06,active,,ewald.greywick.emp-0138@co002.example
EMP-0139,Oleander,Marchbanks,Engineering,Software Engineer,IC,EMP-0036,2023-07-21,active,,oleander.marchbanks.emp-0139@co002.example
EMP-0140,Junot,Dunmore,Engineering,Site Reliability Engineer,IC,EMP-0024,2020-12-21,active,,junot.dunmore.emp-0140@co002.example
EMP-0141,Corwin,Juniper,Engineering,QA Engineer,IC,EMP-0025,2025-09-26,active,,corwin.juniper.emp-0141@co002.example
EMP-0142,Odalys,Thistlewood,Engineering,QA Engineer,IC,EMP-0040,2022-10-21,active,,odalys.thistlewood.emp-0142@co002.example
EMP-0143,Delphine,Moorfield,Engineering,Site Reliability Engineer,IC,EMP-0019,2025-07-25,departed,,delphine.moorfield.emp-0143@co002.example
EMP-0144,Piran,Everhart,Engineering,Staff Engineer,IC,EMP-0017,2020-07-10,active,,piran.everhart.emp-0144@co002.example
EMP-0145,Tamsin,Hallowell,Engineering,Software Engineer,IC,EMP-0034,2025-11-06,active,,tamsin.hallowell.emp-0145@co002.example
EMP-0146,Quillon,Norwich,Engineering,Site Reliability Engineer,IC,EMP-0027,2020-06-02,active,,quillon.norwich.emp-0146@co002.example
EMP-0147,Corin,Ingledew,Engineering,Software Engineer,IC,EMP-0031,2023-07-10,active,,corin.ingledew.emp-0147@co002.example
EMP-0148,Sorrel,Whitlock,Engineering,QA Engineer,IC,EMP-0020,2022-01-19,active,,sorrel.whitlock.emp-0148@co002.example
EMP-0149,Odalys,Holloway,Engineering,Software Engineer,IC,EMP-0022,2020-10-09,active,,odalys.holloway.emp-0149@co002.example
EMP-0150,Perrin,Osgood,Engineering,QA Engineer,IC,EMP-0030,2025-03-12,active,,perrin.osgood.emp-0150@co002.example
EMP-0151,Guinevere,Quennell,Engineering,Staff Engineer,IC,EMP-0037,2025-05-07,active,,guinevere.quennell.emp-0151@co002.example
EMP-0152,Briar,Grayling,Engineering,Site Reliability Engineer,IC,EMP-0027,2024-09-08,active,,briar.grayling.emp-0152@co002.example
EMP-0153,Yara,Nightshade,Engineering,Site Reliability Engineer,IC,EMP-0020,2020-12-20,active,,yara.nightshade.emp-0153@co002.example
EMP-0154,Odalys,Crestfall,Engineering,Senior Software Engineer,IC,EMP-0024,2020-06-03,active,,odalys.crestfall.emp-0154@co002.example
EMP-0155,Corwin,Fairweather,Engineering,Staff Engineer,IC,EMP-0029,2023-11-02,active,,corwin.fairweather.emp-0155@co002.example
EMP-0156,Dashiell,Pennington,Engineering,Staff Engineer,IC,EMP-0021,2024-07-28,active,,dashiell.pennington.emp-0156@co002.example
EMP-0157,Yara,Moorfield,Engineering,QA Engineer,IC,EMP-0034,2020-12-28,active,,yara.moorfield.emp-0157@co002.example
EMP-0158,Guinevere,Thistlewood,Engineering,Staff Engineer,IC,EMP-0019,2024-11-28,active,,guinevere.thistlewood.emp-0158@co002.example
EMP-0159,Freya,Quennell,Engineering,Staff Engineer,IC,EMP-0027,2021-03-20,active,,freya.quennell.emp-0159@co002.example
EMP-0160,Sorrel,Elderkin,Engineering,Senior Software Engineer,IC,EMP-0038,2023-01-02,active,,sorrel.elderkin.emp-0160@co002.example
EMP-0161,Hollis,Larkspur,Engineering,Staff Engineer,IC,EMP-0023,2023-11-18,active,,hollis.larkspur.emp-0161@co002.example
EMP-0162,Quenby,Oakhurst,Engineering,Software Engineer,IC,EMP-0029,2023-04-25,active,,quenby.oakhurst.emp-0162@co002.example
EMP-0163,Wrenna,Larkspur,Engineering,Senior Software Engineer,IC,EMP-0031,2024-04-15,active,,wrenna.larkspur.emp-0163@co002.example
EMP-0164,Lior,Hallowell,Engineering,Site Reliability Engineer,IC,EMP-0040,2022-08-10,active,,lior.hallowell.emp-0164@co002.example
EMP-0165,Tamsin,Yarrow,Engineering,Software Engineer,IC,EMP-0037,2025-04-14,active,,tamsin.yarrow.emp-0165@co002.example
EMP-0166,Junot,Yarrow,Engineering,Site Reliability Engineer,IC,EMP-0014,2020-08-03,active,,junot.yarrow.emp-0166@co002.example
EMP-0167,Perrin,Millgate,Engineering,Site Reliability Engineer,IC,EMP-0020,2021-11-10,active,,perrin.millgate.emp-0167@co002.example
EMP-0168,Hollis,Kestenbaum,Engineering,Software Engineer,IC,EMP-0040,2022-12-17,active,,hollis.kestenbaum.emp-0168@co002.example
EMP-0169,Emlyn,Blackwood,Engineering,Site Reliability Engineer,IC,EMP-0022,2022-06-22,active,,emlyn.blackwood.emp-0169@co002.example
EMP-0170,Isolde,Ravenscroft,Engineering,Site Reliability Engineer,IC,EMP-0021,2023-06-01,active,,isolde.ravenscroft.emp-0170@co002.example
EMP-0171,Quenby,Grayling,Engineering,Senior Software Engineer,IC,EMP-0040,2024-07-22,active,,quenby.grayling.emp-0171@co002.example
EMP-0172,Saskia,Elderkin,Engineering,Senior Software Engineer,IC,EMP-0019,2024-03-10,active,,saskia.elderkin.emp-0172@co002.example
EMP-0173,Quillon,Dunmore,Engineering,Staff Engineer,IC,EMP-0040,2025-03-17,active,,quillon.dunmore.emp-0173@co002.example
EMP-0174,Fenwick,Norwich,Engineering,Senior Software Engineer,IC,EMP-0020,2025-11-04,active,,fenwick.norwich.emp-0174@co002.example
EMP-0175,Wystan,Ingledew,Engineering,Site Reliability Engineer,IC,EMP-0024,2023-10-10,active,,wystan.ingledew.emp-0175@co002.example
EMP-0176,Wystan,Ravenscroft,Engineering,Software Engineer,IC,EMP-0019,2023-09-27,active,,wystan.ravenscroft.emp-0176@co002.example
EMP-0177,Gideon,Yarrow,Engineering,QA Engineer,IC,EMP-0032,2021-01-15,active,,gideon.yarrow.emp-0177@co002.example
EMP-0178,Branwen,Whitlock,Engineering,Senior Software Engineer,IC,EMP-0018,2026-01-22,active,,branwen.whitlock.emp-0178@co002.example
EMP-0179,Aldous,Millgate,Engineering,Senior Software Engineer,IC,EMP-0032,2023-10-18,active,,aldous.millgate.emp-0179@co002.example
EMP-0180,Corin,Moorfield,Engineering,Software Engineer,IC,EMP-0040,2024-09-01,active,,corin.moorfield.emp-0180@co002.example
EMP-0181,Sorrel,Osgood,Engineering,Site Reliability Engineer,IC,EMP-0034,2023-05-17,active,,sorrel.osgood.emp-0181@co002.example
EMP-0182,Tamsin,Fenmore,Engineering,Site Reliability Engineer,IC,EMP-0024,2025-09-26,active,,tamsin.fenmore.emp-0182@co002.example
EMP-0183,Rhoswen,Greywick,Engineering,Senior Software Engineer,IC,EMP-0036,2023-01-26,active,,rhoswen.greywick.emp-0183@co002.example
EMP-0184,Oleander,Grayling,Engineering,Staff Engineer,IC,EMP-0039,2025-04-12,active,,oleander.grayling.emp-0184@co002.example
EMP-0185,Kestrel,Thistlewood,Engineering,Senior Software Engineer,IC,EMP-0041,2020-07-14,active,,kestrel.thistlewood.emp-0185@co002.example
EMP-0186,Lyric,Ivorwood,Engineering,Senior Software Engineer,IC,EMP-0023,2023-05-06,active,,lyric.ivorwood.emp-0186@co002.example
EMP-0187,Thessaly,Quennell,Engineering,Site Reliability Engineer,IC,EMP-0039,2022-03-05,active,,thessaly.quennell.emp-0187@co002.example
EMP-0188,Fenwick,Everhart,Engineering,Site Reliability Engineer,IC,EMP-0038,2020-08-23,active,,fenwick.everhart.emp-0188@co002.example
EMP-0189,Saskia,Underhill,Engineering,Site Reliability Engineer,IC,EMP-0024,2021-01-19,active,,saskia.underhill.emp-0189@co002.example
EMP-0190,Ulric,Nightshade,Engineering,Senior Software Engineer,IC,EMP-0031,2021-03-07,active,,ulric.nightshade.emp-0190@co002.example
EMP-0191,Halcyon,Osgood,Engineering,Software Engineer,IC,EMP-0014,2023-09-04,active,,halcyon.osgood.emp-0191@co002.example
EMP-0192,Freya,Fairweather,Product,"VP, Product",VP,EMP-0001,2022-04-25,active,,freya.fairweather.emp-0192@co002.example
EMP-0193,Aldous,Ivorwood,Product,"Director, Product",Director,EMP-0192,2023-06-29,active,,aldous.ivorwood.emp-0193@co002.example
