hris_person_id,employee_id,full_name,work_email,department,role_title,level,manager_employee_id,hire_date,employment_status,employment_type,fte,record_status,last_updated
PER-100086,EMP-0092,Emlyn Vantree,emlyn.vantree.emp-0092@co002.example,Engineering,QA Engineer,IC,EMP-0014,2023-03-23,active,full_time,1.0,active,2026-01-19
PER-100087,EMP-0093,Wrenna Ashby,wrenna.ashby.emp-0093@co002.example,Engineering,QA Engineer,IC,EMP-0023,2021-04-08,active,part_time,0.8,active,2026-03-15
PER-100088,EMP-0094,Rhoswen Loxley,rhoswen.loxley.emp-0094@co002.example,Engineering,Senior Software Engineer,IC,EMP-0035,2023-11-04,active,full_time,1.0,active,2025-12-04
PER-100089,EMP-0095,Kestrel Greywick,kestrel.greywick.emp-0095@co002.example,Engineering,Senior Software Engineer,IC,EMP-0041,2020-04-25,active,full_time,1.0,active,2026-03-06
PER-100090,EMP-0096,Reyna Quennell,reyna.quennell.emp-0096@co002.example,Engineering,Software Engineer,IC,EMP-0023,2021-10-10,active,full_time,1.0,active,2025-12-21
PER-100091,EMP-0097,Ondine Kestenbaum,ondine.kestenbaum.emp-0097@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0026,2021-10-07,active,full_time,1.0,active,2025-12-03
PER-100092,EMP-0098,Yara Dunmore,yara.dunmore.emp-0098@co002.example,Engineering,Staff Engineer,IC,EMP-0020,2022-09-22,active,full_time,1.0,active,2026-02-21
PER-100093,EMP-0099,Odalys Hallowell,odalys.hallowell.emp-0099@co002.example,Engineering,Software Engineer,IC,EMP-0021,2025-08-25,active,full_time,1.0,active,2025-10-19
PER-100094,EMP-0100,Reyna Larkspur,reyna.larkspur.emp-0100@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0027,2022-04-07,active,full_time,1.0,active,2025-10-11
PER-100095,EMP-0101,Ewald Pennington,ewald.pennington.emp-0101@co002.example,Engineering,QA Engineer,IC,EMP-0021,2021-07-18,active,full_time,1.0,active,2026-03-21
PER-100096,EMP-0102,Tamsin Loxley,tamsin.loxley.emp-0102@co002.example,Engineering,Software Engineer,IC,EMP-0018,2021-10-25,active,full_time,1.0,active,2025-11-20
PER-100097,EMP-0103,Rhoswen Bellcrest,rhoswen.bellcrest.emp-0103@co002.example,Engineering,Software Engineer,IC,EMP-0028,2022-12-22,active,part_time,0.8,active,2025-11-14
PER-100098,EMP-0104,Piran Ashby,piran.ashby.emp-0104@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0021,2023-04-16,active,full_time,1.0,active,2025-12-19
PER-100099,EMP-0105,Branwen Everhart,branwen.everhart.emp-0105@co002.example,Engineering,Staff Engineer,IC,EMP-0029,2025-03-16,active,part_time,0.8,active,2026-02-04
PER-100100,EMP-0106,Corwin Jarrow,corwin.jarrow.emp-0106@co002.example,Engineering,Software Engineer,IC,EMP-0023,2024-02-18,active,full_time,1.0,active,2026-02-04
PER-100101,EMP-0107,Oleander Blackwood,oleander.blackwood.emp-0107@co002.example,Engineering,Software Engineer,IC,EMP-0035,2020-05-23,active,full_time,1.0,active,2026-01-20
PER-100102,EMP-0108,Corin Whitlock,corin.whitlock.emp-0108@co002.example,Engineering,QA Engineer,IC,EMP-0021,2023-07-23,active,full_time,1.0,active,2026-01-28
PER-100103,EMP-0109,Sable Nightshade,sable.nightshade.emp-0109@co002.example,Engineering,QA Engineer,IC,EMP-0016,2022-04-30,active,full_time,1.0,active,2026-01-16
PER-100104,EMP-0110,Fenwick Ashgrove,fenwick.ashgrove.emp-0110@co002.example,Engineering,QA Engineer,IC,EMP-0026,2025-10-26,active,full_time,1.0,active,2025-10-28
PER-100105,EMP-0111,Ondine Fenmore,ondine.fenmore.emp-0111@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0014,2022-09-19,active,full_time,1.0,active,2025-11-04
PER-100106,EMP-0112,Sorrel Ingledew,sorrel.ingledew.emp-0112@co002.example,Engineering,Staff Engineer,IC,EMP-0037,2024-03-02,active,full_time,1.0,active,2025-10-05
PER-100107,EMP-0113,Aldous Loxley,aldous.loxley.emp-0113@co002.example,Engineering,QA Engineer,IC,EMP-0027,2020-10-28,active,full_time,1.0,active,2026-01-02
PER-100108,EMP-0114,Merritt Pemberton,merritt.pemberton.emp-0114@co002.example,Engineering,Software Engineer,IC,EMP-0028,2023-12-11,active,full_time,1.0,active,2026-01-16
PER-100109,EMP-0115,Nessa Everhart,nessa.everhart.emp-0115@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0014,2024-12-15,active,full_time,1.0,active,2026-02-01
PER-100110,EMP-0116,Merritt Elderkin,merritt.elderkin.emp-0116@co002.example,Engineering,Staff Engineer,IC,EMP-0025,2024-12-02,active,full_time,1.0,active,2025-11-30
PER-100111,EMP-0117,Gideon Hallowell,gideon.hallowell.emp-0117@co002.example,Engineering,Staff Engineer,IC,EMP-0016,2022-05-18,active,part_time,0.8,active,2026-01-03
PER-100112,EMP-0118,Quillon Nightshade,quillon.nightshade.emp-0118@co002.example,Engineering,Senior Software Engineer,IC,EMP-0032,2024-04-23,active,full_time,1.0,active,2026-02-16
PER-100113,EMP-0119,Dashiell Larkspur,dashiell.larkspur.emp-0119@co002.example,Engineering,QA Engineer,IC,EMP-0038,2024-07-14,active,full_time,1.0,active,2026-01-09
PER-100114,EMP-0120,Reyna Kestenbaum,reyna.kestenbaum.emp-0120@co002.example,Engineering,Software Engineer,IC,EMP-0038,2021-09-29,active,full_time,1.0,active,2025-10-15
PER-100115,EMP-0121,Delphine Crestfall,delphine.crestfall.emp-0121@co002.example,Engineering,Software Engineer,IC,EMP-0015,2021-02-12,active,full_time,1.0,active,2025-10-26
PER-100116,EMP-0122,Merritt Ashby,merritt.ashby.emp-0122@co002.example,Engineering,QA Engineer,IC,EMP-0022,2021-05-26,active,full_time,1.0,active,2026-03-20
PER-100117,EMP-0123,Gideon Ivorwood,gideon.ivorwood.emp-0123@co002.example,Engineering,QA Engineer,IC,EMP-0017,2023-12-31,active,full_time,1.0,active,2025-10-07
PER-100118,EMP-0124,Lior Kirtland,lior.kirtland.emp-0124@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0032,2021-07-22,active,full_time,1.0,active,2025-10-12
PER-100119,EMP-0125,Quenby Jarrow,quenby.jarrow.emp-0125@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0015,2024-11-03,active,full_time,1.0,active,2025-11-01
PER-100120,EMP-0126,Quillon Elderkin,quillon.elderkin.emp-0126@co002.example,Engineering,Senior Software Engineer,IC,EMP-0038,2021-03-05,active,full_time,1.0,active,2025-11-12
PER-100121,EMP-0127,Marlowe Fairweather,marlowe.fairweather.emp-0127@co002.example,Engineering,Senior Software Engineer,IC,EMP-0023,2020-06-01,active,full_time,1.0,active,2026-01-19
PER-100122,EMP-0128,Reyna Bellcrest,reyna.bellcrest.emp-0128@co002.example,Engineering,QA Engineer,IC,EMP-0022,2020-07-18,active,full_time,1.0,active,2026-01-24
PER-100123,EMP-0129,Isolde Loxley,isolde.loxley.emp-0129@co002.example,Engineering,Staff Engineer,IC,EMP-0033,2020-07-15,active,full_time,1.0,active,2025-10-26
PER-100124,EMP-0130,Perrin Oakhurst,perrin.oakhurst.emp-0130@co002.example,Engineering,Software Engineer,IC,EMP-0019,2020-09-18,active,full_time,1.0,active,2025-11-03
PER-100125,EMP-0131,Tobin Kirtland,tobin.kirtland.emp-0131@co002.example,Engineering,QA Engineer,IC,EMP-0023,2023-10-14,active,full_time,1.0,active,2026-03-29
PER-100126,EMP-0132,Isolde Kirtland,isolde.kirtland.emp-0132@co002.example,Engineering,QA Engineer,IC,EMP-0025,2023-01-19,active,full_time,1.0,active,2025-12-03
PER-100127,EMP-0133,Ewald Juniper,ewald.juniper.emp-0133@co002.example,Engineering,Senior Software Engineer,IC,EMP-0029,2024-09-15,active,full_time,1.0,active,2025-10-16
PER-100128,EMP-0135,Reyna Whitlock,reyna.whitlock.emp-0135@co002.example,Engineering,QA Engineer,IC,EMP-0021,2021-06-03,active,full_time,1.0,active,2025-12-25
PER-100129,EMP-0136,Cormac Grayling,cormac.grayling.emp-0136@co002.example,Engineering,QA Engineer,IC,EMP-0026,2021-09-26,active,full_time,1.0,active,2026-01-12
PER-100130,EMP-0137,Verity Vantree,verity.vantree.emp-0137@co002.example,Engineering,Senior Software Engineer,IC,EMP-0037,2025-03-10,active,full_time,1.0,active,2025-10-25
PER-100131,EMP-0138,Ewald Greywick,ewald.greywick.emp-0138@co002.example,Engineering,Staff Engineer,IC,EMP-0018,2023-08-06,active,full_time,1.0,active,2025-11-08
PER-100132,EMP-0139,Oleander Marchbanks,oleander.marchbanks.emp-0139@co002.example,Engineering,Software Engineer,IC,EMP-0036,2023-07-21,active,full_time,1.0,active,2026-03-15
PER-100133,EMP-0140,Junot Dunmore,junot.dunmore.emp-0140@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0024,2020-12-21,active,full_time,1.0,active,2026-01-07
PER-100134,EMP-0141,Corwin Juniper,corwin.juniper.emp-0141@co002.example,Engineering,QA Engineer,IC,EMP-0025,2025-09-26,active,full_time,1.0,active,2026-01-07
PER-100135,EMP-0142,Odalys Thistlewood,odalys.thistlewood.emp-0142@co002.example,Engineering,QA Engineer,IC,EMP-0040,2022-10-21,active,full_time,1.0,active,2026-02-08
PER-100136,EMP-0144,Piran Everhart,piran.everhart.emp-0144@co002.example,Engineering,Staff Engineer,IC,EMP-0017,2020-07-10,active,full_time,1.0,active,2025-11-22
PER-100137,EMP-0145,Tamsin Hallowell,tamsin.hallowell.emp-0145@co002.example,Engineering,Software Engineer,IC,EMP-0034,2025-11-06,active,full_time,1.0,active,2026-03-06
PER-100138,EMP-0146,Quillon Norwich,quillon.norwich.emp-0146@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0027,2020-06-02,active,full_time,1.0,active,2025-11-08
PER-100139,EMP-0147,Corin Ingledew,corin.ingledew.emp-0147@co002.example,Engineering,Software Engineer,IC,EMP-0031,2023-07-10,active,full_time,1.0,active,2025-10-01
PER-100140,EMP-0148,Sorrel Whitlock,sorrel.whitlock.emp-0148@co002.example,Engineering,QA Engineer,IC,EMP-0020,2022-01-19,active,full_time,1.0,active,2026-02-23
PER-100141,EMP-0149,Odalys Holloway,odalys.holloway.emp-0149@co002.example,Engineering,Software Engineer,IC,EMP-0022,2020-10-09,active,part_time,0.6,active,2026-03-18
PER-100142,EMP-0150,Perrin Osgood,perrin.osgood.emp-0150@co002.example,Engineering,QA Engineer,IC,EMP-0030,2025-03-12,active,full_time,1.0,active,2026-01-05
PER-100143,EMP-0151,Guinevere Quennell,guinevere.quennell.emp-0151@co002.example,Engineering,Staff Engineer,IC,EMP-0037,2025-05-07,active,full_time,1.0,active,2025-12-26
PER-100144,EMP-0152,Briar Grayling,briar.grayling.emp-0152@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0027,2024-09-08,active,full_time,1.0,active,2025-11-04
PER-100145,EMP-0153,Yara Nightshade,yara.nightshade.emp-0153@co002.example,Engineering,Site Reliability Engineer,IC,EMP-0020,2020-12-20,active,full_time,1.0,active,2026-03-08
PER-100146,EMP-0154,Odalys Crestfall,odalys.crestfall.emp-0154@co002.example,Engineering,Senior Software Engineer,IC,EMP-0024,2020-06-03,active,full_time,1.0,active,2025-12-17
PER-100147,EMP-0155,Corwin Fairweather,corwin.fairweather.emp-0155@co002.example,Engineering,Staff Engineer,IC,EMP-0029,2023-11-02,active,full_time,1.0,active,2026-03-27
PER-100148,EMP-0156,Dashiell Pennington,dashiell.pennington.emp-0156@co002.example,Engineering,Staff Engineer,IC,EMP-0021,2024-07-28,active,full_time,1.0,active,2025-11-29
PER-100149,EMP-0157,Yara Moorfield,yara.moorfield.emp-0157@co002.example,Engineering,QA Engineer,IC,EMP-0034,2020-12-28,active,full_time,1.0,active,2026-01-10
