record_id,employee_id,full_name,work_email,department,role_title,manager_employee_id,hire_date,date_of_birth,home_city,emergency_contact_name,emergency_contact_phone,health_accommodation_note,occupational_health_status,trade_union_membership,criminal_record_check_status,immigration_status,sensitivity_tier,lawful_basis,extracted_on
MSD-2026-0011,EMP-0229,Junot Crestfall,junot.crestfall.emp-0229@co002.example,Product,Product Analyst,EMP-0200,2024-03-09,,Stonebury,Fenwick Juniper,(555) 555-0131,,,,not required for this role,,restricted,legal_obligation,2026-04-03
MSD-2026-0012,EMP-0239,Gideon Fairweather,gideon.fairweather.emp-0239@co002.example,Product,Product Manager,EMP-0200,2024-10-03,,Tallgrass Junction,Ondine Juniper,(555) 555-0138,,,,,,ordinary,contract,2026-04-03
MSD-2026-0013,EMP-0243,Zephyrine Everhart,zephyrine.everhart.emp-0243@co002.example,Sales,"Director, Sales",EMP-0241,2025-03-13,,Granite Bend,Briar Juniper,(555) 555-0135,,cleared with adjustments,,,,ordinary,contract,2026-04-03
MSD-2026-0014,EMP-0246,Piran Crestfall,piran.crestfall.emp-0246@co002.example,Sales,"Director, Sales",EMP-0241,2021-10-11,,Tallgrass Junction,Delphine Nightshade,(555) 555-0113,phased return to full hours after an extended period of leave,assessment scheduled,,,,special_category,explicit_consent,2026-04-03
MSD-2026-0015,EMP-0267,Marlowe Yarrow,marlowe.yarrow.emp-0267@co002.example,Sales,Enterprise Account Executive,EMP-0261,2026-01-08,,Alder Creek,Honora Greywick,(555) 555-0121,,referral open,,,,special_category,explicit_consent,2026-04-03
MSD-2026-0016,EMP-0280,Verity Hallowell,verity.hallowell.emp-0280@co002.example,Sales,Sales Engineer,EMP-0249,2020-12-30,,Quarry Hills,Corin Grayling,(555) 555-0119,,,,,work permit renewal due,restricted,legal_obligation,2026-04-03
MSD-2026-0017,EMP-0285,Saskia Pemberton,saskia.pemberton.emp-0285@co002.example,Sales,Enterprise Account Executive,EMP-0263,2024-01-05,1977-05-18,Mapleton Heights,Saskia Corrigan,(555) 555-0144,,,,,,restricted,legal_obligation,2026-04-03
MSD-2026-0018,EMP-0300,Tobin Thistlewood,tobin.thistlewood.emp-0300@co002.example,Sales,Enterprise Account Executive,EMP-0255,2021-05-18,1973-12-06,Granite Bend,Wystan Vantree,(555) 555-0180,,,,,,restricted,legal_obligation,2026-04-03
MSD-2026-0019,EMP-0351,Merritt Oakhurst,merritt.oakhurst.emp-0351@co002.example,Marketing,Marketing Manager,EMP-0350,2021-09-07,,Tallgrass Junction,Piran Thistlewood,(555) 555-0104,,cleared,workplace representative,,work authorization verified,special_category,explicit_consent,2026-04-03
MSD-2026-0020,EMP-0356,Quillon Kestenbaum,quillon.kestenbaum.emp-0356@co002.example,Marketing,Marketing Manager,EMP-0349,2025-09-19,,Lakemont Park,Tobin Ivorwood,(555) 555-0167,,,,,,ordinary,contract,2026-04-03
MSD-2026-0021,EMP-0372,Ulric Holloway,ulric.holloway.emp-0372@co002.example,Marketing,Marketing Manager,EMP-0352,2025-07-11,,Quarry Hills,Rhoswen Kirtland,(555) 555-0179,,,,renewal due,,restricted,legal_obligation,2026-04-03
MSD-2026-0022,EMP-0376,Honora Yarrow,honora.yarrow.emp-0376@co002.example,Marketing,Content Marketer,EMP-0355,2025-10-25,,Port Wexley,Isolde Fairweather,(555) 555-0176,,,,,,ordinary,contract,2026-04-03
MSD-2026-0023,EMP-0401,Corin Loxley,corin.loxley.emp-0401@co002.example,Customer Success,Customer Success Manager,EMP-0394,2024-02-22,,Wilder Bend,Guinevere Pemberton,(555) 555-0103,,,,,,ordinary,contract,2026-04-03
MSD-2026-0024,EMP-0413,Oleander Thistlewood,oleander.thistlewood.emp-0413@co002.example,Customer Success,Support Engineer,EMP-0395,2024-06-24,1976-06-30,Ridgemont Falls,Cassian Jarrow,(555) 555-0187,,,,,employer sponsored work permit,restricted,legal_obligation,2026-04-03
MSD-2026-0025,EMP-0444,Isolde Duskwood,isolde.duskwood.emp-0444@co002.example,Customer Success,Support Engineer,EMP-0400,2025-03-31,1997-02-06,Quarry Hills,Lior Ingledew,(555) 555-0120,phased return to full hours after an extended period of leave,,,,,special_category,explicit_consent,2026-04-03
MSD-2026-0026,EMP-0448,Junot Greywick,junot.greywick.emp-0448@co002.example,Customer Success,Onboarding Specialist,EMP-0404,2021-01-17,,Lakemont Park,Ulric Yarrow,(555) 555-0151,,,,,,ordinary,contract,2026-04-03
MSD-2026-0027,EMP-0450,Corin Bellcrest,corin.bellcrest.emp-0450@co002.example,Customer Success,Support Engineer,EMP-0401,2022-10-18,,Braddock Hollow,Quenby Moorfield,(555) 555-0140,,,,,,ordinary,contract,2026-04-03
MSD-2026-0028,EMP-0478,Sorrel Thistlewood,sorrel.thistlewood.emp-0478@co002.example,Finance,FP&A Analyst,EMP-0467,2023-12-06,,Granite Bend,Yara Ivorwood,(555) 555-0124,reduced travel expectation agreed for the current period,cleared,,,,special_category,explicit_consent,2026-04-03
MSD-2026-0029,EMP-0483,Lior Juniper,lior.juniper.emp-0483@co002.example,Finance,FP&A Analyst,EMP-0468,2024-11-13,,Ridgemont Falls,Reyna Norwich,(555) 555-0134,,assessment scheduled,member,pending,,special_category,explicit_consent,2026-04-03
MSD-2026-0030,EMP-0488,Ulric Larkspur,ulric.larkspur.emp-0488@co002.example,Finance,FP&A Analyst,EMP-0465,2025-01-28,,Granite Bend,Ulric Elderkin,(555) 555-0168,,,,,,ordinary,contract,2026-04-03
MSD-2026-0031,EMP-0503,Corwin Quennell,corwin.quennell.emp-0503@co002.example,People,People Manager,EMP-0500,2024-04-01,,Alder Creek,Wystan Holloway,(555) 555-0198,,,,,,ordinary,contract,2026-04-03
MSD-2026-0032,EMP-0504,Perrin Ingledew,perrin.ingledew.emp-0504@co002.example,People,People Manager,EMP-0499,2024-08-11,,New Haverbrook,Ulric Underhill,(555) 555-0153,,,,,,ordinary,contract,2026-04-03
MSD-2026-0033,EMP-0522,Sorrel Everhart,sorrel.everhart.emp-0522@co002.example,People,People Operations Specialist,EMP-0502,2021-12-23,,Wilder Bend,Perrin Fenmore,(555) 555-0182,,,,,,ordinary,contract,2026-04-03
MSD-2026-0034,EMP-0531,Fenwick Greywick,fenwick.greywick.emp-0531@co002.example,Legal,Legal Manager,EMP-0529,2023-09-18,,Quarry Hills,Tobin Hallowell,(555) 555-0109,,,workplace representative,,employer sponsored work permit,special_category,explicit_consent,2026-04-03
MSD-2026-0035,EMP-0536,Corin Blackwood,corin.blackwood.emp-0536@co002.example,Legal,Corporate Counsel,EMP-0531,2023-11-27,,Granite Bend,Lior Norwich,(555) 555-0188,,,,,,ordinary,contract,2026-04-03
MSD-2026-0036,EMP-0552,Honora Norwich,honora.norwich.emp-0552@co002.example,IT & Security,Security Engineer,EMP-0546,2021-04-09,,New Haverbrook,Emlyn Ivorwood,(555) 555-0154,,,,,work permit renewal due,restricted,legal_obligation,2026-04-03
MSD-2026-0037,EMP-0556,Aldous Pennington,aldous.pennington.emp-0556@co002.example,IT & Security,Security Engineer,EMP-0547,2025-11-11,,Quarry Hills,Emlyn Greywick,(555) 555-0145,,,,,,ordinary,contract,2026-04-03
MSD-2026-0038,EMP-0562,Cormac Loxley,cormac.loxley.emp-0562@co002.example,IT & Security,IT Administrator,EMP-0545,2020-04-04,,Coldwater Ridge,Wrenna Pemberton,(555) 555-0114,,cleared,member,,employer sponsored work permit,special_category,explicit_consent,2026-04-03
MSD-2026-0039,EMP-0589,Saskia Yarrow,saskia.yarrow.emp-0589@co002.example,Operations,Operations Analyst,EMP-0574,2021-03-21,,Halstead Springs,Aldous Blackwood,(555) 555-0141,,,,pending,,restricted,legal_obligation,2026-04-03
MSD-2026-0040,EMP-0600,Halcyon Corrigan,halcyon.corrigan.emp-0600@co002.example,Operations,Operations Analyst,EMP-0574,2021-09-25,,Stonebury,Baxter Fenmore,(555) 555-0108,,,,,,ordinary,contract,2026-04-03
