assignment_id,employee_id,employee_name,department,role_title,system,entitlement,entitlement_class,granted_date,granted_by_employee_id,last_review_date,last_used_date
UAR-0027,EMP-0486,Emlyn Ravenscroft,Finance,Staff Accountant,GL,gl_account_maintain,modify,2021-09-22,EMP-0467,2026-01-07,2026-03-27
UAR-0028,EMP-0487,Junot Kirtland,Finance,AP Clerk,GL,gl_inquiry,view,2025-08-20,EMP-0469,2026-01-07,2026-04-01
UAR-0029,EMP-0488,Ulric Larkspur,Finance,FP&A Analyst,PAY,payment_run_release,release,2025-01-28,EMP-0465,2026-01-07,2026-03-31
UAR-0030,EMP-0489,Faro Grayling,Finance,FP&A Analyst,GL,je_entry,create,2025-10-13,EMP-0468,2026-01-07,2026-04-06
UAR-0031,EMP-0489,Faro Grayling,Finance,FP&A Analyst,GL,gl_account_maintain,modify,2025-10-13,EMP-0468,2026-01-07,2026-04-02
UAR-0032,EMP-0490,Tamsin Jarrow,Finance,AP Clerk,AR,ar_invoice_entry,create,2022-04-06,EMP-0469,2026-01-07,2026-03-18
UAR-0033,EMP-0490,Tamsin Jarrow,Finance,AP Clerk,AR,ar_credit_memo_entry,create,2022-04-06,EMP-0469,2026-01-07,2026-04-01
UAR-0034,EMP-0491,Faro Pemberton,Finance,AP Clerk,AP,ap_invoice_approve,approve,2025-02-24,EMP-0467,2026-01-07,2026-03-30
UAR-0035,EMP-0492,Yara Everhart,Finance,AP Clerk,AP,ap_invoice_entry,create,2021-12-01,EMP-0466,2026-01-07,2026-03-24
UAR-0036,EMP-0492,Yara Everhart,Finance,AP Clerk,AP,vendor_master_maintain,modify,2021-12-01,EMP-0466,2026-01-07,2026-03-27
UAR-0037,EMP-0493,Lyric Oakhurst,Finance,Staff Accountant,AR,ar_invoice_entry,create,2026-02-09,EMP-0466,2026-01-07,2026-03-31
UAR-0038,EMP-0493,Lyric Oakhurst,Finance,Staff Accountant,AR,ar_credit_memo_entry,create,2026-02-09,EMP-0466,2026-01-07,2026-03-20
UAR-0039,EMP-0494,Corwin Underhill,Finance,FP&A Analyst,AP,ap_invoice_entry,create,2026-02-09,EMP-0469,2026-01-07,2026-03-31
UAR-0040,EMP-0494,Corwin Underhill,Finance,FP&A Analyst,AP,vendor_master_maintain,modify,2026-02-09,EMP-0469,2026-01-07,2026-03-31
UAR-0041,EMP-0495,Ivo Ashby,Finance,FP&A Analyst,GL,je_entry,create,2025-07-21,EMP-0469,2026-01-07,2026-04-02
UAR-0042,EMP-0495,Ivo Ashby,Finance,FP&A Analyst,GL,gl_account_maintain,modify,2025-07-21,EMP-0469,2026-01-07,2026-03-20
UAR-0043,EMP-0496,Quenby Dunmore,Finance,FP&A Analyst,AR,ar_invoice_entry,create,2020-06-01,EMP-0466,2026-01-07,2026-03-30
UAR-0044,EMP-0496,Quenby Dunmore,Finance,FP&A Analyst,AR,ar_credit_memo_entry,create,2020-06-01,EMP-0466,2026-01-07,2026-03-31
UAR-0045,EMP-0497,Tobin Millgate,Finance,AR Clerk,PAY,payment_run_release,release,2023-10-18,EMP-0467,2026-01-07,2026-03-26
