contact_id,account_id,email,jurisdiction,subscriber_type,consent_status,optout_date,optout_honored_date,do_not_contact,dnc_effective_date,suppressed
ct-co-159-02,co-159,rowan.nakamura@ferngrovesystems.example,EU,corporate,gdpr_opt_in_pending,,,false,,false
ct-co-160-01,co-160,blair.okafor@gladewickllc.example,US,corporate,optout_honored,2026-02-03,2026-02-09,false,,true
ct-co-161-01,co-161,emerson.whitfield@hollowayvalepartners.example,UK,corporate,optout_honored,2026-02-06,2026-02-12,false,,true
ct-co-161-02,co-161,morgan.delacroix@hollowayvalepartners.example,UK,corporate,pecr_corporate_subscriber,,,false,,false
ct-co-162-01,co-162,jordan.coburn@ironbrookpartners.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-163-01,co-163,jordan.singh@junewoodllc.example,EU,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-164-01,co-164,casey.marsten@kettlebrookpartners.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-164-02,co-164,sage.coburn@kettlebrookpartners.example,US,corporate,optout_honored,2026-02-23,2026-02-25,false,,true
ct-co-164-03,co-164,riley.delacroix@kettlebrookpartners.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-165-01,co-165,blair.singh@bramblecourtllc.example,UK,corporate,pecr_corporate_subscriber,,,false,,false
ct-co-165-02,co-165,blair.alvarez@bramblecourtllc.example,UK,corporate,optout_honored,2026-02-12,2026-02-17,false,,true
ct-co-165-03,co-165,skyler.marsten@bramblecourtllc.example,UK,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-166-01,co-166,casey.delacroix@northfieldgroup.example,US,corporate,us_express_consent,,,false,,false
ct-co-166-02,co-166,blair.okafor@northfieldgroup.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-166-03,co-166,riley.coburn@northfieldgroup.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-167-01,co-167,casey.alvarez@cinderbrookpartners.example,EU,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-168-01,co-168,rowan.delacroix@amberlinesystems.example,US,corporate,optout_honored,2026-02-13,2026-02-26,false,,true
ct-co-168-02,co-168,jordan.coburn@amberlinesystems.example,US,corporate,optout_honored,2026-03-09,2026-03-16,false,,true
ct-co-169-01,co-169,sage.marsten@foxgloveholdings.example,UK,corporate,gdpr_consent_confirmed,,,false,,false
ct-co-170-01,co-170,riley.okafor@amberlineholdings.example,US,corporate,us_express_consent,,,false,,false
ct-co-170-02,co-170,blair.coburn@amberlineholdings.example,US,corporate,canspam_default_permitted,,,false,,false
ct-co-170-03,co-170,blair.alvarez@amberlineholdings.example,US,corporate,optout_honored,2026-02-13,2026-02-16,false,,true
