checklist_id,checklist_task_id,task_code,task_name,phase,new_hire_employee_id,new_hire_full_name,new_hire_department,new_hire_role_title,requisition_id,start_date,owner_employee_id,owner_full_name,owner_role,due_date,status,completed_date,blocked_by_checklist_task_id,grants_system_id,grants_system_name,approval_owner_employee_id,approval_owner_role
ONB-2026-0001,ONBT-2026-0014,ONB-17,Sign the security and acceptable use acknowledgement,day_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0601,Hollis Hallowell,New Hire,2026-04-06,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0015,ONB-18,Introduce the new hire to the immediate team,day_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0196,Isolde Nightshade,Hiring Manager,2026-04-06,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0016,ONB-19,Walk through the first week schedule with the buddy,day_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0221,Sable Ravenscroft,Onboarding Buddy,2026-04-06,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0017,ONB-20,Check the payroll details and the benefits elections,day_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0601,Hollis Hallowell,New Hire,2026-04-06,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0018,ONB-21,Work the access provisioning request for the shared team drive,week_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0560,Reyna Osgood,IT & Security,2026-04-07,in_progress,,,SYS-0005,shared team drive,EMP-0196,Hiring Manager
ONB-2026-0001,ONBT-2026-0019,ONB-22,Sit the workplace policy and records training,week_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0601,Hollis Hallowell,New Hire,2026-04-08,not_started,,ONBT-2026-0013,,,,
ONB-2026-0001,ONBT-2026-0020,ONB-23,Book the recurring one to one session,week_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0196,Isolde Nightshade,Hiring Manager,2026-04-08,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0021,ONB-24,Review the first thirty day plan with the manager,week_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0601,Hollis Hallowell,New Hire,2026-04-09,not_started,,ONBT-2026-0007,,,,
ONB-2026-0001,ONBT-2026-0022,ONB-25,Walk through the product metric definitions and the reporting calendar,week_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0196,Isolde Nightshade,Hiring Manager,2026-04-09,not_started,,ONBT-2026-0008,,,,
ONB-2026-0001,ONBT-2026-0023,ONB-26,Meet the wider department at the weekly team meeting,week_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0221,Sable Ravenscroft,Onboarding Buddy,2026-04-10,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0024,ONB-29,Check in on the first week and record anything outstanding,week_one,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0506,Lyric Corrigan,People Operations,2026-04-13,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0025,ONB-30,Finish the mandatory compliance training modules,first_month,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0601,Hollis Hallowell,New Hire,2026-04-20,not_started,,ONBT-2026-0019,,,,
ONB-2026-0001,ONBT-2026-0026,ONB-31,Confirm the buddy pairing is working and close the buddy period,first_month,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0196,Isolde Nightshade,Hiring Manager,2026-04-20,not_started,,ONBT-2026-0016,,,,
ONB-2026-0001,ONBT-2026-0027,ONB-32,Confirm the probation review date is in the calendar,first_month,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0506,Lyric Corrigan,People Operations,2026-04-27,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0028,ONB-33,Present the first piece of analysis to the product team,first_month,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0601,Hollis Hallowell,New Hire,2026-05-04,not_started,,,,,,
ONB-2026-0001,ONBT-2026-0029,ONB-34,Run the thirty day check in with the new hire,first_month,EMP-0601,Hollis Hallowell,Product,Product Analyst,RQN-2026-0103,2026-04-06,EMP-0196,Isolde Nightshade,Hiring Manager,2026-05-04,not_started,,,,,,
